row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
172,Burundi,05/16/2020,15,1,7,7,0,1.48,0.10,284,28.08,2020-05-02 19:00:05.4505080 -05:00
173,Turks and Caicos,05/16/2020,12,1,10,1,0,381.46,31.79,109,3464.94,2020-05-15 08:17:35.7182860 -05:00
174,Montserrat,05/16/2020,11,1,10,0,0,2234.86,203.17,36,7314.10,2020-05-16 00:00:04.3884460 -05:00
175,Comoros,05/16/2020,11,1,3,7,0,13.65,1.24,0,0.00,2020-05-14 18:00:05.1233900 -05:00
176,Suriname,05/16/2020,10,1,9,0,0,18.46,1.85,404,745.89,2020-05-03 14:00:04.7368690 -05:00
177,British Virgin Islands,05/16/2020,8,1,6,1,0,280.56,35.07,167,5856.77,2020-05-15 08:17:35.7182860 -05:00
178,Réunion,05/16/2020,443,0,354,89,4,526.77,0.00,17200,20452.48,2020-05-16 18:00:04.7880300 -05:00
179,CAR,05/16/2020,327,0,13,314,0,65.43,0.00,3498,699.88,2020-05-16 18:00:04.7880300 -05:00
180,Vietnam,05/16/2020,318,0,260,58,2,3.43,0.00,275000,2966.56,2020-05-16 07:00:04.7756750 -05:00
181,Rwanda,05/16/2020,289,0,178,111,0,25.01,0.00,48239,4175.38,2020-05-16 14:00:04.7715190 -05:00
182,Madagascar,05/16/2020,283,0,114,169,3,12.61,0.00,5670,252.74,2020-05-16 15:00:04.8950480 -05:00
183,Uganda,05/16/2020,227,0,63,164,0,6.70,0.00,70117,2070.75,2020-05-16 16:00:04.3044790 -05:00
184,Faeroe Islands,05/16/2020,187,0,187,0,0,3787.27,0.00,8779,177798.93,2020-05-15 20:00:09.9685330 -05:00
185,Gibraltar,05/16/2020,147,0,145,2,0,4435.73,0.00,5060,152685.58,2020-05-16 16:00:04.3054790 -05:00
186,Mongolia,05/16/2020,135,0,20,115,2,43.65,0.00,10162,3285.38,2020-05-15 23:00:04.8622440 -05:00
187,Mozambique,05/16/2020,129,0,43,86,0,4.88,0.00,5735,217.04,2020-05-16 12:00:07.2091730 -05:00
188,Cambodia,05/16/2020,122,0,122,0,0,7.81,0.00,14684,939.69,2020-05-16 00:00:04.3884460 -05:00
189,French Polynesia,05/16/2020,60,0,59,1,0,220.75,0.00,3216,11832.23,2020-05-16 01:00:04.8955170 -05:00
190,Macao,05/16/2020,45,0,43,2,1,69.33,0.00,0,0.00,2020-05-13 09:00:05.3193240 -05:00
191,Eritrea,05/16/2020,39,0,39,0,0,7.29,0.00,0,0.00,2020-05-15 13:00:04.8016650 -05:00
192,Timor-Leste,05/16/2020,24,0,24,0,0,20.56,0.00,738,632.26,2020-05-15 08:17:35.7182860 -05:00
193,Grenada,05/16/2020,22,0,14,8,4,212.91,0.00,2419,23410.89,2020-05-15 20:00:09.9685330 -05:00
194,Bhutan,05/16/2020,21,0,5,16,0,27.08,0.00,13660,17611.72,2020-05-16 00:00:04.3884460 -05:00
195,Laos,05/16/2020,19,0,14,5,0,2.93,0.00,4424,681.41,2020-05-16 04:00:04.3911720 -05:00
196,Saint Lucia,05/16/2020,18,0,18,0,0,96.77,0.00,786,4225.81,2020-05-16 17:00:05.7276690 -05:00
197,New Caledonia,05/16/2020,18,0,18,0,0,66.97,0.00,5454,20292.67,2020-05-15 08:17:35.7182860 -05:00
198,Fiji,05/16/2020,18,0,15,3,0,20.76,0.00,1300,1499.42,2020-05-15 14:00:11.5926860 -05:00
199,St. Vincent Grenadines,05/16/2020,17,0,14,3,0,154.56,0.00,155,1409.21,2020-05-15 08:17:35.7182860 -05:00
200,Namibia,05/16/2020,16,0,13,3,0,6.88,0.00,2074,892.28,2020-05-15 08:17:35.7182860 -05:00
201,Dominica,05/16/2020,16,0,15,1,0,224.43,0.00,420,5891.18,2020-05-15 08:17:35.7182860 -05:00
202,Saint Kitts and Nevis,05/16/2020,15,0,14,1,0,324.65,0.00,327,7077.31,2020-05-15 08:17:35.7182860 -05:00
203,Falkland Islands,05/16/2020,13,0,13,0,0,5072.18,0.00,402,156847.44,2020-05-15 08:17:35.7182860 -05:00
204,Vatican City,05/16/2020,12,0,2,10,0,14545.45,0.00,0,0.00,2020-05-06 12:00:06.5645410 -05:00
205,Seychelles,05/16/2020,11,0,10,1,0,120.35,0.00,0,0.00,2020-05-10 03:00:03.5594450 -05:00
206,Greenland,05/16/2020,11,0,11,0,0,196.97,0.00,1629,29168.98,2020-05-15 12:00:07.3622380 -05:00
207,Papua New Guinea,05/16/2020,8,0,8,0,0,0.99,0.00,2402,297.14,2020-05-15 08:17:35.7182860 -05:00
208,Western Sahara,05/16/2020,6,0,6,0,0,11.75,0.00,0,0.00,2020-05-11 20:00:04.3447970 -05:00
209,St. Barth,05/16/2020,6,0,6,0,0,637.15,0.00,0,0.00,2020-05-15 08:17:35.7182860 -05:00
210,Caribbean Netherlands,05/16/2020,6,0,6,0,0,230.88,0.00,357,13737.64,2020-05-15 20:00:09.9685330 -05:00
211,Anguilla,05/16/2020,3,0,3,0,0,223.02,0.00,0,0.00,2020-04-27 07:28:21.7743040 -05:00
212,Saint Pierre Miquelon,05/16/2020,1,0,1,0,0,164.77,0.00,0,0.00,2020-05-11 11:00:04.9734280 -05:00
213,Lesotho,05/16/2020,1,0,0,1,0,0.53,0.00,0,0.00,2020-05-13 08:00:05.6677330 -05:00
